filename,video_link,current_category,suggested_category,confidence,action,issues,difficulty,transcript_preview,reviewer_decision,reviewer_category,reviewer_notes
IMG_0626 (2).MOV,https://drive.google.com/file/d/15UrSim9k8E1bI1mSXiPCrhI_TlRTe4M8/view,Other,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go!,,,
IMG_0628 (3).MOV,https://drive.google.com/file/d/1NSvpml9qw25B90MLV0XAzCY8WGZ-y5jk/view,Other,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, 130g,,,
IMG_0626 (3).MOV,https://drive.google.com/file/d/15UrSim9k8E1bI1mSXiPCrhI_TlRTe4M8/view,Other,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go!,,,
IMG_0226 (1).MOV,https://drive.google.com/file/d/1CjZytITceBBDUqXQFMFYT1983_wRX0aY/view,Other,Release Moves,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Ahh mmm... I'm a little f어�ologiaed my back! We're good journey!! Nice drive... Thanks a lot... Tha...,,,
IMG_0628 (1).MOV,https://drive.google.com/file/d/1NSvpml9qw25B90MLV0XAzCY8WGZ-y5jk/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Katsuma   Annに、任務に einenがある Mingilia ‪N galaxy ‪,,,
IMG_0627 (1).MOV,https://drive.google.com/file/d/1AP0TsQY6H8AKL4c_likyCNXzqAnQ07ho/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,はてさんに・・・うわぁ・・・ゆいっん・・・,,,
IMG_5075 (1).MOV,https://drive.google.com/file/d/1eiYMVaSyjsXzatREvtXVWAmIMJ62KD8Z/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Okay girl. Are we rising? SO EXACT팅,,,
IMG_2361 (1).MOV,https://drive.google.com/file/d/1W3GrI5X6TDmIscAyBWqAN98SN1lct3Fl/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Whenever you are in the market you have come up to see an organisation! The .. ...узundHe does not ...,,,
IMG_3211 (2).MOV,https://drive.google.com/file/d/1K6IBgw9VyVTuLDTf4VtqCP7121ScCSA8/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Ha ha ha ya! ....aaaaaaas tight! BYE Hui i'm cold,,,
IMG_0226 (2).MOV,https://drive.google.com/file/d/1CjZytITceBBDUqXQFMFYT1983_wRX0aY/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Nathan consequences and all those bastards We время,,,
IMG_5080 (3).MOV,https://drive.google.com/file/d/1Lo5QsKDMht56jcDc3RmdnzDEPs84pO1A/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, this 19 got a bit of a candleHHHHHH,,,
IMG_5108 (3).MOV,https://drive.google.com/file/d/1o0SOcnaqAYobo2Ee_Kd9yiMxpQKZ-I91/view,Other,,30,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, is like Charl 그래도 here we go yes justícia,,,
IMG_0626.MOV,https://drive.google.com/file/d/15UrSim9k8E1bI1mSXiPCrhI_TlRTe4M8/view,Other,,35,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED,Beginner, Go!,,,
IMG_2405.MOV,https://drive.google.com/file/d/1ONzejwQbeeawuyvKjqsvNEOZPQ74qsA7/view,Other,,35,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED,Beginner, bara,,,
IMG_0225.MOV,https://drive.google.com/file/d/1vzV9u9Cnmuan9zsJhmaLuiBHJtQtRwJs/view,Other,,40,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, Hot. stoней Do it. immenselyS crack,,,
IMG_0226.MOV,https://drive.google.com/file/d/1CjZytITceBBDUqXQFMFYT1983_wRX0aY/view,Other,Agility,40,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner," It really needs a quickぐ Or some sort of thú F radioactive So wait a minute, right there Shit... Th...",,,
IMG_5110.MOV,https://drive.google.com/file/d/1Af1DL90kTwKDyA3XA9uJGilJ45CVv_QD/view,Other,,40,RE_TRANSCRIBE,GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate, And he might even shoot a knee in. Right down the deemed right that going through there. We've got ...,,,
IMG_2335 (1).MOV,https://drive.google.com/file/d/19JmSM8k07JgnYoCvfU-g5SjqSX8zR8RM/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, like this,,,
IMG_0225 (1).MOV,https://drive.google.com/file/d/1vzV9u9Cnmuan9zsJhmaLuiBHJtQtRwJs/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, doing,,,
562868864af04148a32ee2956ffd3173 (1).MOV,https://drive.google.com/file/d/1mqx5paz-tNO3CaswUAvFnIbGzohgnVy_/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Get on, get on my.",,,
IMG_0282 (1).MOV,https://drive.google.com/file/d/14ou7fzkCDV6ltBQ2kMHtPvNU2uBFG03Y/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Ready go good,,,
IMG_5076 (1).mov,https://drive.google.com/file/d/1I5-x5FCNZakHjglOsCYMA8Lcm_cp3TJq/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Here's a good look.,,,
IMG_2406 (1).MOV,https://drive.google.com/file/d/1H6tUHDtJOsT1cT2oxhtnPz2e6FHLRn0h/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, They got me.,,,
IMG_3211 (1).MOV,https://drive.google.com/file/d/1K6IBgw9VyVTuLDTf4VtqCP7121ScCSA8/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Bye here! Whoa!,,,
IMG_5076 (2).mov,https://drive.google.com/file/d/1I5-x5FCNZakHjglOsCYMA8Lcm_cp3TJq/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Here's a good look.,,,
IMG_4930 (2).MOV,https://drive.google.com/file/d/1Dd6SHwI72h8QRvpfmMSjH4mzv8wt8noT/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," No, no, no, no, no!",,,
IMG_2405 (2).MOV,https://drive.google.com/file/d/1ONzejwQbeeawuyvKjqsvNEOZPQ74qsA7/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Nhah Oh,,,
IMG_2406 (2).MOV,https://drive.google.com/file/d/1H6tUHDtJOsT1cT2oxhtnPz2e6FHLRn0h/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I've been throwing,,,
IMG_5110 (1).MOV,https://drive.google.com/file/d/1Af1DL90kTwKDyA3XA9uJGilJ45CVv_QD/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, </ Johan,,,
IMG_5121 (1).MOV,https://drive.google.com/file/d/1Vn37PtZAA4GP70Ql-PXUK8IzOaPzjQIT/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, You can see this,,,
IMG_2335 (2).MOV,https://drive.google.com/file/d/19JmSM8k07JgnYoCvfU-g5SjqSX8zR8RM/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Fanta 4,,,
IMG_0282 (2).MOV,https://drive.google.com/file/d/14ou7fzkCDV6ltBQ2kMHtPvNU2uBFG03Y/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Ready go good,,,
IMG_2361 (2).MOV,https://drive.google.com/file/d/1W3GrI5X6TDmIscAyBWqAN98SN1lct3Fl/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, so when,,,
IMG_0628 (2).MOV,https://drive.google.com/file/d/1NSvpml9qw25B90MLV0XAzCY8WGZ-y5jk/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, orderedror in an,,,
IMG_5110 (2).MOV,https://drive.google.com/file/d/1Af1DL90kTwKDyA3XA9uJGilJ45CVv_QD/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate, from W,,,
IMG_5086 (2).MOV,https://drive.google.com/file/d/1uj0l8B0U8qRRAKyuuAptevBBXJDfV-dg/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, One. A,,,
IMG_5087 (2).MOV,https://drive.google.com/file/d/1ZQAFWtzIKp18Yl4LZ3vm17zxF9yuQTZT/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, our to,,,
IMG_5069 (2).MOV,https://drive.google.com/file/d/1Gr9SmWPEXFJJyV4SIBqr5PJB58V5qGml/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, a fire hangin' its,,,
IMG_5076 (3).mov,https://drive.google.com/file/d/1I5-x5FCNZakHjglOsCYMA8Lcm_cp3TJq/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Here's a good look.,,,
IMG_4930 (3).MOV,https://drive.google.com/file/d/1Dd6SHwI72h8QRvpfmMSjH4mzv8wt8noT/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Y-y-y-y-y-y-y-y...,,,
IMG_4932 (3).MOV,https://drive.google.com/file/d/1CypmOxrrJSpmwVOE9TyapKfLnkVHXFV_/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Nemu D,,,
IMG_2405 (3).MOV,https://drive.google.com/file/d/1ONzejwQbeeawuyvKjqsvNEOZPQ74qsA7/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Yes Whoa,,,
IMG_0627 (3).MOV,https://drive.google.com/file/d/1AP0TsQY6H8AKL4c_likyCNXzqAnQ07ho/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,MY GO!,,,
IMG_0282 (3).MOV,https://drive.google.com/file/d/14ou7fzkCDV6ltBQ2kMHtPvNU2uBFG03Y/view,Other,,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Ready, go! Good.",,,
IMG_5099 (3).MOV,https://drive.google.com/file/d/12CX21yRyOrMQcfB3VS77PvsR5L16OHVa/view,Other,Route Running,45,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Not this inside?,,,
IMG_2361.MOV,https://drive.google.com/file/d/1W3GrI5X6TDmIscAyBWqAN98SN1lct3Fl/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner, Yeah it's cake,,,
IMG_2394.mov,https://drive.google.com/file/d/183OziderzyMMkra2JGG6e2ZwsEmtTha9/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner, Good! Good,,,
IMG_0628.MOV,https://drive.google.com/file/d/1NSvpml9qw25B90MLV0XAzCY8WGZ-y5jk/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner, Pisa di sal,,,
IMG_0282.MOV,https://drive.google.com/file/d/14ou7fzkCDV6ltBQ2kMHtPvNU2uBFG03Y/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner," Ready, go! Good.",,,
IMG_5076.mov,https://drive.google.com/file/d/1I5-x5FCNZakHjglOsCYMA8Lcm_cp3TJq/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner, Here's a good look.,,,
IMG_4930.MOV,https://drive.google.com/file/d/1Dd6SHwI72h8QRvpfmMSjH4mzv8wt8noT/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner, Jump-y-y-y-y-y-y!,,,
IMG_4936.MOV,https://drive.google.com/file/d/1ReYtrF8k3mfICS-CsA6i569ek6W7nR6-/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner, T-t-t-t-t-t-t-t!,,,
IMG_4934.MOV,https://drive.google.com/file/d/1uxzb5BCI8iJfoVwemPx5MXxVfGx_xfr2/view,Other,,55,RE_CATEGORIZE,SHORT_TRANSCRIPT; UNCATEGORIZED,Beginner," Yeah, yeah, yeah!",,,
IMG_2077 (1).MOV,https://drive.google.com/file/d/1aWRjHLjr5ckliCmowLO3qT8f-muZLg7v/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Ready, go! Good, you're straight, good.",,,
IMG_0283 (1).MOV,https://drive.google.com/file/d/18SUELQxn2rVZvURQMzqzQh2XucoQLRkP/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Great go! That was it!,,,
IMG_0285 (1).MOV,https://drive.google.com/file/d/1qcaHnY_rTzOwOSIPuBwsRTtNLMbDZwsb/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Now here we go, ready, go! There we go, nice!",,,
IMG_0287 (1).MOV,https://drive.google.com/file/d/1HrfrCFfol4wFaivSwFkNxjqdskUdCUjd/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go There we go do it,,,
IMG_0281 (1).MOV,https://drive.google.com/file/d/1ea9vvCouNx1yseu0L2OP05CFwSkk74u8/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," ok no no no no it's ok , no i´m blocked",,,
IMG_5094 (1).MOV,https://drive.google.com/file/d/1t4aDKnBRC8bWppVsIz7UQn_WjbBZ2moH/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,three. That I saw is going straight. Ya know,,,
IMG_5087 (1).MOV,https://drive.google.com/file/d/1ZQAFWtzIKp18Yl4LZ3vm17zxF9yuQTZT/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, come on Come home are you,,,
IMG_5089 (1).MOV,https://drive.google.com/file/d/1mC2gIFKxA06r3NYZFWLvs4nwkkv2AsP7/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, On the line on the line.,,,
IMG_5092 (1).MOV,https://drive.google.com/file/d/1S3FW0N-Grz0UEi7so66qhjsqbUPn_3o_/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, right there That light,,,
IMG_5086 (1).MOV,https://drive.google.com/file/d/1uj0l8B0U8qRRAKyuuAptevBBXJDfV-dg/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Only be standing. Now I'm diving. Go ahead.,,,
IMG_5093 (1).MOV,https://drive.google.com/file/d/1E-Wsap9a3Fi-tzNQ7sTRHxKzhtrqEa7E/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," He is the visual. But now you let it out, girl. Yes. There you go. Go ahead. You see how you...",,,
IMG_5095 (1).MOV,https://drive.google.com/file/d/11Xlj707Juunt79besrn-M3M-mfbksRVJ/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Good luck. Right there. Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes.",,,
IMG_5073 (1).MOV,https://drive.google.com/file/d/1RYDwpZ2qA_etnNGNS0p0rMXkA4L5Hx4r/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Don't shoot, too, steady. One, two, three.",,,
IMG_5082 (1).MOV,https://drive.google.com/file/d/1MEFcqkaKlSU2x2SlPTbNPawHG0-0DVOP/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Okay, it's right, it's right.",,,
IMG_5069 (1).MOV,https://drive.google.com/file/d/1Gr9SmWPEXFJJyV4SIBqr5PJB58V5qGml/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I can fire really. Ssss. Ssss. Ssss. Ssss.,,,
IMG_5079 (1).MOV,https://drive.google.com/file/d/1l8sLkV9REBc3JzCLEfZCWj4-WSNwMVgg/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm going to look. Y'all the mirror.,,,
IMG_5080 (1).MOV,https://drive.google.com/file/d/1Lo5QsKDMht56jcDc3RmdnzDEPs84pO1A/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate, Second try it could have helped our climb. Did you hear what's going on? Everything different? Wind...,,,
IMG_4934 (1).MOV,https://drive.google.com/file/d/1uxzb5BCI8iJfoVwemPx5MXxVfGx_xfr2/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," All right, all right!",,,
IMG_4932 (1).MOV,https://drive.google.com/file/d/1CypmOxrrJSpmwVOE9TyapKfLnkVHXFV_/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, J-J-J-J-J-J-J-J-J-J-J...,,,
IMG_4928 (1).MOV,https://drive.google.com/file/d/1TzsoWQBTNatLo7K9RyrPfYZmvzltRWMK/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Yeah, yeah, yeah, yeah, can we light?",,,
IMG_2385 (1).MOV,https://drive.google.com/file/d/1ojv4ZfgpecjHlM9y7gb4Bd0J3BK9WPRX/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," So, let's go. Let's go. Come on. Let's go. Right.",,,
IMG_2376 (1).MOV,https://drive.google.com/file/d/1qIF-DuMWZES9Lb8yhA7TzK29xl87wwlV/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," It's really great. So... It's been a great, great, great, great. I'm like...",,,
IMG_2337 (1).MOV,https://drive.google.com/file/d/10120kWZqO5vwzFbOE9Z9X6A5rlpSyoc8/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, and water it before month day amounts ma,,,
IMG_2373 (1).MOV,https://drive.google.com/file/d/1Y98xBdUI04HhynLyClBQBAfQxaY8rLf_/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Happy drastic really ready to go Oh, oh come on harder plan term Dad though",,,
IMG_5075 (2).MOV,https://drive.google.com/file/d/1eiYMVaSyjsXzatREvtXVWAmIMJ62KD8Z/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," There it goes, puede?",,,
IMG_5080 (2).MOV,https://drive.google.com/file/d/1Lo5QsKDMht56jcDc3RmdnzDEPs84pO1A/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Enough currently.... Listen.... I'll come back dear B,,,
IMG_5073 (2).MOV,https://drive.google.com/file/d/1RYDwpZ2qA_etnNGNS0p0rMXkA4L5Hx4r/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, What? Highway 18. Yeah.,,,
IMG_5079 (2).MOV,https://drive.google.com/file/d/1l8sLkV9REBc3JzCLEfZCWj4-WSNwMVgg/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm going to look. Y'all the mirror.,,,
IMG_4928 (2).MOV,https://drive.google.com/file/d/1TzsoWQBTNatLo7K9RyrPfYZmvzltRWMK/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Yeah, yeah, yeah, yeah, can we light?",,,
IMG_4932 (2).MOV,https://drive.google.com/file/d/1CypmOxrrJSpmwVOE9TyapKfLnkVHXFV_/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,la-la-la-la-la-la-la!,,,
IMG_2399 (2).MOV,https://drive.google.com/file/d/1xiuwlgmk_JkOL3q-hxCLowiSenyXdFg2/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate," Ready, go! Do it. You got to try to get here.",,,
IMG_4929 (2).MOV,https://drive.google.com/file/d/10b61UV7l2WWPfuLcp-8Ff6K61CbiLIuP/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," R-R-R-R-R-R-R-R-R-R-R-R, good, good!",,,
IMG_2339 (2).MOV,https://drive.google.com/file/d/1Ec5V9r3kw2-aJDIQGoKp0cIqdY2XO4Vt/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Just hold him up. And though, one. Breathe to go behind him and take some knees. Three. Four. Five....",,,
IMG_2385 (2).MOV,https://drive.google.com/file/d/1ojv4ZfgpecjHlM9y7gb4Bd0J3BK9WPRX/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate," So, let's go. Let's go. Come on. Let's go. Right.",,,
IMG_2376 (2).MOV,https://drive.google.com/file/d/1qIF-DuMWZES9Lb8yhA7TzK29xl87wwlV/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," It's really great. So... It's really great, it's really great. I'm like...",,,
IMG_5119 (1).MOV,https://drive.google.com/file/d/1gpKuIHGUZbt03d5LwEtxtwb7jIdoiuLV/view,Other,Route Running,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate, He jumps outside. Right? He's in the ground. He's in the ground.,,,
IMG_5120 (1).MOV,https://drive.google.com/file/d/1xa7xregDV8fe0yOj9ZFiNykPvXHuMjfn/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, He's going to get to be once again. He's back. That's a day. He's back. Thank you.,,,
IMG_0281 (2).MOV,https://drive.google.com/file/d/1ea9vvCouNx1yseu0L2OP05CFwSkk74u8/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, no. NO. NO IS NO NO. Bernal WNF don't talk shuuu I don't wanna. Bye!,,,
IMG_5099 (1).MOV,https://drive.google.com/file/d/12CX21yRyOrMQcfB3VS77PvsR5L16OHVa/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, We'll just see. At a boy And we'll be bait.,,,
IMG_0287 (2).MOV,https://drive.google.com/file/d/1HrfrCFfol4wFaivSwFkNxjqdskUdCUjd/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go There we go do it,,,
IMG_5098 (1).MOV,https://drive.google.com/file/d/1DXhUXTWd6eCW-_ahEObeQlKrocBA8h6I/view,Other,Route Running,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate, beat up on you move with them stay inside,,,
IMG_5102 (1).MOV,https://drive.google.com/file/d/1J9KL5wJtg6HyAB3ZDDXhQ802fQ343XOR/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate," Exactly, I'll say you can't, I'll never say you can't. That guy, day day, that's where we're going....",,,
IMG_5088 (1).MOV,https://drive.google.com/file/d/1ur69MRGiCBaHejAN_Vu6Ji6WJcbRVv8B/view,Other,Footwork,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Let it go, let it go now. The plant has a plant has a plant.",,,
IMG_5105 (1).MOV,https://drive.google.com/file/d/1gBdbsTeA5Pumyum3gaf8fa9dhcW0dZMl/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," but I'll take you. Hey, you're trying to grab. Loose.",,,
IMG_5107 (1).MOV,https://drive.google.com/file/d/1rmtZUvjjy5eUsTNBlQ-ouVUge76KmFmn/view,Other,Catching/Hands,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate, You still got lag right? Three more are you? No we would. It's like playing basketball.,,,
IMG_5123 (1).MOV,https://drive.google.com/file/d/1ThKGjLfUV-Qd3MPvGkD-s89kdeyzRWWd/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," You still need some help? Ah, this is all you're doing.",,,
IMG_5117 (1).MOV,https://drive.google.com/file/d/1jrLJdv6GBY5u3LSPNrkYhhceNMOv4LzE/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," Hier, hier, hier, hier. Hier. Ja. Hey.",,,
IMG_5113 (1).MOV,https://drive.google.com/file/d/1jY2uURVa53JHte_gqxA0NFTjKZ4P-H3k/view,Other,,65,RE_CATEGORIZE,UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner," And let me know where you're going. Hey, hey, hey, yeah.",,,
